K12527,1
K01199,1
K01452,0.333333333
K11695,0.333333333
K01434,0.333333333
K01525,1
K03382,0.2
K01112,1
K05601,1
K04039,0.5
K04032,1
K10852,0.333333333
K02749,1
K04091,1
K01205,0.333333333
K12528,1
K01210,1
K01130,1
K02745,1
K10679,0.333333333
K07309,1
K02813,1
K01469,1
K08312,1
K02815,1
K01442,1
K02752,1
K02744,1
K01183,0.333333333
K11694,0.333333333
K03383,0.2
K05780,1
K02814,1
K12529,1
K07310,1
K01455,1
K10678,0.333333333
K13381,0.333333333
K13566,1
K08092,1
K02750,1
K11693,0.333333333
K10680,0.333333333
K06165,1
K01186,1
K04037,0.5
K01565,0.333333333
K01044,1
K01500,0.2
K13747,1
K10984,1
K03857,1
K11192,1
K01515,1
K01813,1
K12355,1
K01818,0.25
K05396,1
K12308,1
K03927,1
K08261,1
K02812,1
K04720,1
K00637,1
K01253,1
K10532,0.333333333
K02753,1
K01259,1
K10986,1
K05305,0.25
K08710,0.2
K02747,1
K01134,1
K01467,0.333333333
K01119,1
K10985,1
K02746,1
K05394,0.2
K11191,1
K11429,1
K03332,1
K02771,0.25
K06164,1
K06166,1
K11196,0.25
